hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
ACK-H01,"CF9.UL.02.02 fits the published JST contact cross-section range but its allowable current in the final moving, bundled harness is unproven","accepted RMS/peak duty, ambient, bundling and hot-route model plus received crimp/temperature-rise tests",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H02,"normal RMS, peak duration, diversity and regeneration waveforms are unmeasured",accepted whole-body trajectories with synchronized current/voltage/temperature records,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H03,branch fuse/eFuse/current-limiter coordination is unselected,"fault current, impedance, inrush, regeneration, interruption and connector-protection tests",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H04,CF9.UL has published bend/torsion capability but no HR-30 route is classified or cycle-tested,"route-specific bend/twist distribution, temperature range and representative life test",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H05,no RS-485 or TTL data cable is validated in the final eight-bus topology,"manufacturer suitability evidence plus waveform, termination, common-mode, error-rate and EMC tests at final lengths",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H06,"cut lengths, service slack, clamp positions and retention hardware are unselected",as-built route measurement and dimensioned assembly drawings,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H07,"contact crimp tooling, setup, pull limit and cross-section acceptance are unselected","controlled process specification, coupons and qualified inspection",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H08,data-only outgoing cavity construction is unbuilt and uninspected,"serialized 100% cavity, continuity, isolation and no-backfeed records",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H09,"whole-body bus termination, bias, baud and shielding remain unvalidated","final controller, cable and topology tests across motion/power states",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H10,qualified electrical and functional-safety review is absent,signed review of the identical frozen as-built harness and test evidence,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H11,"outgoing data-only connectors omit GND as well as VDD, leaving signal reference through individual branch returns",approved reference/isolation architecture and measured RS-485 common-mode plus TTL ground-offset/waveform evidence without power-branch paralleling,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
