drop_id,axis_id,bus_branch,branch_net,return_net,protection_topology,candidate_12v_stall_endpoint_a,endpoint_boundary,conductor_size,connector_limit,branch_protection,fault_current_length_ambient_bundling_inrush_duty_jurisdiction,authority
PWR-L_HIP_YAW,L_HIP_YAW,RS-LLEG,L_HIP_YAW_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_HIP_ROLL,L_HIP_ROLL,RS-LLEG,L_HIP_ROLL_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_HIP_PITCH,L_HIP_PITCH,RS-LLEG,L_HIP_PITCH_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 3; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_KNEE_PITCH,L_KNEE_PITCH,RS-LLEG,L_KNEE_PITCH_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 4; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_ANKLE_PITCH,L_ANKLE_PITCH,RS-LLEG,L_ANKLE_PITCH_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 5; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_ANKLE_ROLL,L_ANKLE_ROLL,RS-LLEG,L_ANKLE_ROLL_VDD,RS-LLEG_RET,WPS-RS-LLEG CHANNEL 6; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_HIP_YAW,R_HIP_YAW,RS-RLEG,R_HIP_YAW_VDD,RS-RLEG_RET,WPS-RS-RLEG CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_HIP_ROLL,R_HIP_ROLL,RS-RLEG,R_HIP_ROLL_VDD,RS-RLEG_RET,WPS-RS-RLEG CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_HIP_PITCH,R_HIP_PITCH,RS-RLEG,R_HIP_PITCH_VDD,RS-RLEG_RET,WPS-RS-RLEG CHANNEL 3; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_KNEE_PITCH,R_KNEE_PITCH,RS-RLEG,R_KNEE_PITCH_VDD,RS-RLEG_RET,WPS-RS-RLEG CHANNEL 4; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,4.90,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,MOVING CANDIDATE igus CF130.03.02.UL 2 x 22 AWG; FIXED PIGTAIL CANDIDATE 2 x Alpha Wire 3051 22 AWG,JST EH AND MOLEX MICRO-FIT APPLICATION DERATING / TEMPERATURE-RISE TEST OPEN,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
