sequence_id,axis_id,region,candidate_actuator,current_transmission_ratio,candidate_current_endpoint_nm,published_output_stall_endpoint_nm,peak_contact_inverse_torque_nm,p95_contact_inverse_torque_nm,rms_contact_inverse_torque_nm,peak_open_chain_inverse_torque_nm,peak_gravity_only_torque_nm,peak_contact_component_nm,peak_to_current_endpoint_ratio,p95_to_current_endpoint_ratio,fraction_over_current_endpoint,peak_to_published_output_stall_ratio,linear_current_for_peak_a,minimum_ratio_for_peak_with_1_25_margin,planned_peak_output_speed_deg_s,no_load_output_speed_at_minimum_ratio_deg_s,endpoint_state,capacity_boundary,authority,warning
WS-L01,HEAD_PAN,HEAD/WAIST,ROBOTIS XC330-T288-T,1.000,0.795455,1.000000,0.000088,0.000086,0.000040,0.000088,0.000000,0.000000,0.000111,0.000108,0.000000000,0.000088,0.000077,1.000000,0.000000,426.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,HEAD_TILT,HEAD/WAIST,ROBOTIS XC330-T288-T,1.000,0.795455,1.000000,0.049890,0.049868,0.049800,0.049890,0.049800,0.000000,0.062719,0.062691,0.000000000,0.049890,0.043903,1.000000,0.000000,426.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ANKLE_PITCH,LEG,ROBOTIS XM430-W350-R,2.500,7.571049,8.712500,6.378503,6.373290,4.866216,0.044829,0.023814,6.348300,0.842486,0.841797,0.000000000,0.732109,1.683851,2.632769,14.994667,104.832602,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ANKLE_ROLL,LEG,ROBOTIS XM430-W350-R,2.000,6.056839,6.970000,0.205623,0.195872,0.077950,0.006850,0.000000,0.212452,0.033949,0.032339,0.000000000,0.029501,0.067853,2.000000,3.906250,138.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_ELBOW_PITCH,ARM/HAND,ROBOTIS XM430-W350-R,1.000,3.562847,4.100000,0.182808,0.169345,0.069327,0.182808,0.182838,0.000000,0.051310,0.047531,0.000000000,0.044587,0.102551,1.000000,18.743334,276.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_PITCH,LEG,ROBOTIS XH540-W270-R,1.500,6.437501,12.622500,11.451294,7.018729,5.307378,0.706413,0.706149,11.647315,1.778842,1.090288,0.314711359,0.907213,4.445343,3.335328,18.711280,70.158021,EXCEEDS CANDIDATE CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_ROLL,LEG,ROBOTIS XH540-W270-R,2.000,8.583334,16.830000,12.550234,12.480139,5.634803,0.588916,0.588721,13.139013,1.462163,1.453997,0.204841713,0.745706,3.653960,3.655408,3.906250,64.014748,EXCEEDS CANDIDATE CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_HIP_YAW,LEG,ROBOTIS XH540-W270-R,1.000,5.049020,9.900000,0.278660,0.207540,0.097789,0.005444,0.000000,0.279524,0.055191,0.041105,0.000000000,0.028147,0.137923,1.000000,0.000000,234.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_KNEE_PITCH,LEG,ROBOTIS XH540-W270-R,2.500,10.729168,21.037500,8.680924,6.256232,3.684049,0.273902,0.267420,8.730951,0.809096,0.583105,0.000000000,0.412640,2.021938,2.528424,30.660192,92.547765,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
WS-L01,L_SHOULDER_PITCH,ARM/HAND,ROBOTIS XM430-W350-R,1.500,4.542629,5.227500,0.380076,0.359084,0.161875,0.380076,0.380166,0.000000,0.083669,0.079048,0.000000000,0.072707,0.167226,1.500000,14.994667,184.000000,WITHIN CURRENT ENDPOINT,STALL-LINEAR CURRENT AND NO-LOAD SPEED SCREENS ARE NOT CONTINUOUS RATINGS,"NO PROCUREMENT, CONNECTION, POWERED TEST, MOTION OR WALKING AUTHORITY","PRELIMINARY - INVERSE-DYNAMICS DESIGN EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
